DRM_ID,Priority,Latitude,Longitude,Status,grid_id_50,mpa_nr,subreg_nr,zone_nr,habclass,lat_deg,lon_deg,psu_depth,psu_vrel,Shape_Leng,Shape_Area,region,prot,depth_clas,rugosity_c,strat
1527,Primary,24.662304,-82.927195,Surveyed,583028,26,4,4,CONT_HR,24.662304,-82.927195,17.5,0.2313,220.542936,3039.925718,DRY TORT,2,D2,R2,DT04
1529,Primary,24.651224,-82.801565,Surveyed,540402,26,4,4,CONT_LR,24.651224,-82.801565,2.4,0.2005,220.536777,3039.755919,DRY TORT,2,D1,R2,DT01
1532,Primary,24.68348,-82.894913,Surveyed,620450,26,4,4,CONT_LR,24.68348,-82.894913,5.7,0.3226,220.583553,3041.045573,DRY TORT,2,D1,R3,DT02
1538,Primary,24.590247,-82.890364,Surveyed,339174,26,4,4,CONT_LR,24.590092,-82.890542,10,0.2028,220.420792,3036.559378,DRY TORT,2,D1,R2,DT01
1540,Primary,24.699678,-82.899111,Surveyed,645710,26,4,4,CONT_LR,24.699678,-82.899111,13.1,0.2637,220.611475,3041.81551,DRY TORT,2,D2,R3,DT05
1544,Primary,24.582647,-82.908202,Surveyed,317006,26,4,4,CONT_MR,24.582647,-82.908202,12.9,0.3687,220.405968,3036.150972,DRY TORT,2,D2,R3,DT05
1546,Primary,24.595228,-82.912836,Surveyed,356177,26,4,4,CONT_HR,24.595228,-82.912836,10.6,0.565,220.427393,3036.741247,DRY TORT,2,D1,R4,DT02
1548,Primary,24.571295,-82.91346,Surveyed,284011,26,4,4,CONT_MR,24.571295,-82.91346,11.5,0.2684,220.385665,3035.591616,DRY TORT,2,D1,R3,DT02
1549,Primary,24.687228,-82.8841,Surveyed,626084,26,4,4,ISOL_HR,24.687228,-82.8841,7.4,0.3296,220.591318,3041.259682,DRY TORT,2,D1,R3,DT02
1550,Primary,24.682998,-82.897376,Surveyed,619743,26,4,4,ISOL_HR,24.682998,-82.897376,7.8,0.4006,220.582304,3041.011134,DRY TORT,2,D1,R4,DT02
1552,Primary,24.596296,-82.961624,Surveyed,361882,26,4,4,ISOL_LR,24.596404,-82.961731,15.1,0.1874,220.4243,3036.656037,DRY TORT,2,D2,R2,DT04
1555,Primary,24.693585,-82.916806,Surveyed,636544,26,4,4,ISOL_LR,24.693585,-82.916806,14.6,0.2735,220.598959,3041.47038,DRY TORT,2,D2,R3,DT05
1557,Primary,24.633893,-82.797837,Surveyed,481429,26,4,4,CONT_LR,24.634114,-82.797863,7.4,0.23,220.507272,3038.942594,DRY TORT,2,D1,R2,DT01
1567,Primary,24.613608,-82.948627,Surveyed,418621,26,4,4,CONT_MR,24.613727,-82.948669,11,0.2723,220.455832,3037.524913,DRY TORT,2,D1,R3,DT02
1569,Primary,24.607384,-82.942078,Surveyed,397566,26,4,4,ISOL_MR,24.607492,-82.942154,13.6,0.2081,220.445672,3037.244934,DRY TORT,2,D2,R2,DT04
1573,Primary,24.639483,-82.801891,Surveyed,499957,26,4,4,ISOL_MR,24.639483,-82.801891,4.7,0.2561,220.516165,3039.187767,DRY TORT,2,D1,R2,DT01
1578,Primary,24.662732,-82.782959,Surveyed,579294,26,4,4,ISOL_MR,24.662732,-82.782959,11.9,0.2586,220.558705,3040.360468,DRY TORT,2,D1,R2,DT01
1580,Primary,24.696276,-82.772461,Surveyed,638240,26,4,4,SPGR_MR,24.696261,-82.772565,12.7,0.42,220.618438,3042.007528,DRY TORT,2,D2,R4,DT05
1586,Primary,24.626169,-83.064908,Surveyed,465516,0,3,4,CONT_LR,24.626169,-83.064908,15.8,0.229957,220.464477,3037.76315,DRY TORT,0,D2,R2,DT04
1589,Primary,24.606163,-83.075441,Surveyed,398794,0,3,4,CONT_LR,24.606163,-83.075441,16.7,0.537034,220.428489,3036.771467,DRY TORT,0,D2,R4,DT05
1590,Primary,24.610696,-83.074034,Surveyed,413833,0,3,4,CONT_LR,24.610696,-83.074034,15.8,0.293181,220.436467,3036.991293,DRY TORT,0,D2,R3,DT05
1591,Primary,24.611121,-83.076016,Surveyed,415339,0,3,4,CONT_LR,24.611121,-83.076016,16.1,0.287585,220.436912,3037.00356,DRY TORT,0,D2,R3,DT05
1592,Primary,24.619052,-83.089973,Surveyed,442571,0,3,4,CONT_LR,24.619052,-83.089973,16.7,0.537034,220.449071,3037.33861,DRY TORT,0,D2,R4,DT05
1596,Primary,24.654539,-83.069819,Surveyed,563345,24,3,4,ISOL_LR,24.654539,-83.069819,17.4,0.191286,220.513557,3039.115845,DRY TORT,1,D2,R2,DT04
1602,Primary,24.652923,-83.055963,Surveyed,557097,24,3,4,ISOL_MR,24.652923,-83.055963,16.5,0.508372,220.512322,3039.081813,DRY TORT,1,D2,R4,DT05
1606,Primary,24.657677,-83.071353,Surveyed,574252,24,3,4,CONT_LR,24.657677,-83.071353,16.9,0.443372,220.519001,3039.265939,DRY TORT,1,D2,R4,DT05
