"DRM_ID","psu_id","lat_degrees.x","lat_degrees.y","lon_degrees.x","lon_degrees.y","mpa_nr.x","mpa_nr.y","subregion_nr.x","subregion_nr.y","habitat_cd.x","habitat_cd.y","psu_depth.x","psu_depth.y","prot.x","prot.y","depth_class.x","depth_class.y","rugosity_class.x","rugosity_class.y","strat.x","strat.y","Priority","Status","mapgrid_nr","zone_nr","lat_deg","lon_deg","psu_vrel","Shape_Leng","Shape_Area","region","priority_level","strat_nr","survey_type"
1527,NA,24.662304,NA,-82.927195,NA,26,NA,4,NA,"CONT_HR",NA,17.5,NA,2,NA,"D2",NA,"R2",NA,"DT04",NA,"Primary","Surveyed",583028,4,24.662304,-82.927195,0.2313,220.542936,3039.925718,"DRY TORT",NA,NA,NA
1529,NA,24.651224,NA,-82.801565,NA,26,NA,4,NA,"CONT_LR",NA,2.4,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Primary","Surveyed",540402,4,24.651224,-82.801565,0.2005,220.536777,3039.755919,"DRY TORT",NA,NA,NA
1532,NA,24.68348,NA,-82.894913,NA,26,NA,4,NA,"CONT_LR",NA,5.7,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Primary","Surveyed",620450,4,24.68348,-82.894913,0.3226,220.583553,3041.045573,"DRY TORT",NA,NA,NA
1538,NA,24.590247,NA,-82.890364,NA,26,NA,4,NA,"CONT_LR",NA,10,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Primary","Surveyed",339174,4,24.590092,-82.890542,0.2028,220.420792,3036.559378,"DRY TORT",NA,NA,NA
1540,NA,24.699678,NA,-82.899111,NA,26,NA,4,NA,"CONT_LR",NA,13.1,NA,2,NA,"D2",NA,"R3",NA,"DT05",NA,"Primary","Surveyed",645710,4,24.699678,-82.899111,0.2637,220.611475,3041.81551,"DRY TORT",NA,NA,NA
1544,NA,24.582647,NA,-82.908202,NA,26,NA,4,NA,"CONT_MR",NA,12.9,NA,2,NA,"D2",NA,"R3",NA,"DT05",NA,"Primary","Surveyed",317006,4,24.582647,-82.908202,0.3687,220.405968,3036.150972,"DRY TORT",NA,NA,NA
1546,NA,24.595228,NA,-82.912836,NA,26,NA,4,NA,"CONT_HR",NA,10.6,NA,2,NA,"D1",NA,"R4",NA,"DT02",NA,"Primary","Surveyed",356177,4,24.595228,-82.912836,0.565,220.427393,3036.741247,"DRY TORT",NA,NA,NA
1548,NA,24.571295,NA,-82.91346,NA,26,NA,4,NA,"CONT_MR",NA,11.5,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Primary","Surveyed",284011,4,24.571295,-82.91346,0.2684,220.385665,3035.591616,"DRY TORT",NA,NA,NA
1549,NA,24.687228,NA,-82.8841,NA,26,NA,4,NA,"ISOL_HR",NA,7.4,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Primary","Surveyed",626084,4,24.687228,-82.8841,0.3296,220.591318,3041.259682,"DRY TORT",NA,NA,NA
1550,NA,24.682998,NA,-82.897376,NA,26,NA,4,NA,"ISOL_HR",NA,7.8,NA,2,NA,"D1",NA,"R4",NA,"DT02",NA,"Primary","Surveyed",619743,4,24.682998,-82.897376,0.4006,220.582304,3041.011134,"DRY TORT",NA,NA,NA
1552,NA,24.596296,NA,-82.961624,NA,26,NA,4,NA,"ISOL_LR",NA,15.1,NA,2,NA,"D2",NA,"R2",NA,"DT04",NA,"Primary","Surveyed",361882,4,24.596404,-82.961731,0.1874,220.4243,3036.656037,"DRY TORT",NA,NA,NA
1555,NA,24.693585,NA,-82.916806,NA,26,NA,4,NA,"ISOL_LR",NA,14.6,NA,2,NA,"D2",NA,"R3",NA,"DT05",NA,"Primary","Surveyed",636544,4,24.693585,-82.916806,0.2735,220.598959,3041.47038,"DRY TORT",NA,NA,NA
1557,NA,24.633893,NA,-82.797837,NA,26,NA,4,NA,"CONT_LR",NA,7.4,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Primary","Surveyed",481429,4,24.634114,-82.797863,0.23,220.507272,3038.942594,"DRY TORT",NA,NA,NA
