psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2014,1,488673,24.6334425,-83.0279899,DT04,0,0,17.7,3,CONT_LR,D2,R1,1
2009,1,400307,24.6067165,-83.0680441,DT04,0,0,16.8,3,CONT_LR,D2,R2,1
2003,1,519608,24.6420047,-83.0622048,DT04,0,0,15.8,3,ISOL_LR,D2,R1,1
2013,1,513445,24.6405564,-83.0360066,DT04,0,0,16.5,3,CONT_LR,D2,R1,1
2033,1,466997,24.6262588,-83.0910802,DT05,0,0,19.3,3,ISOL_LR,D2,R4,2
2026,1,438019,24.6177395,-83.0869883,DT05,0,0,15.8,3,CONT_LR,D2,R4,2
2028,1,421414,24.613082,-83.0646925,DT05,0,0,15,3,CONT_MR,D2,R4,2
2019,1,404786,24.6079684,-83.0754705,DT05,0,0,16.8,3,CONT_LR,D2,R4,2
2025,1,479363,24.6303458,-83.0565814,DT05,0,0,14.1,3,CONT_LR,D2,R3,2
2024,1,432041,24.6165174,-83.0445048,DT05,0,0,17.3,3,CONT_LR,D2,R3,2
2045,1,462388,24.6248018,-83.0984627,DT07,0,0,22.8,3,CONT_LR,D3,R2,3
2041,1,529027,24.6452161,-83.0252168,DT07,0,0,22.5,3,CONT_LR,D3,R2,3
2049,1,450169,24.621171,-83.0998834,DT07,0,0,23.7,3,CONT_MR,D3,R2,3
2043,1,392769,24.6041326,-83.0916995,DT07,0,0,29.1,3,CONT_LR,D3,R1,3
2039,1,357350,24.5939194,-83.0466058,DT07,0,0,27.3,3,CONT_LR,D3,R1,3
2042,1,513474,24.6407497,-83.0216877,DT07,0,0,25.3,3,ISOL_MR,D3,R1,3
2048,1,525959,24.644631,-83.0015011,DT07,0,0,32.5,3,CONT_LR,D3,R1,3
2037,1,296685,24.5737186,-83.0714506,DT07,0,0,29.6,3,CONT_LR,D3,R1,3
2054,1,508824,24.6394754,-83.0157409,DT08,0,0,30.1,3,ISOL_MR,D3,R4,4
2051,1,379385,24.6005744,-83.0551069,DT08,0,0,24,3,CONT_MR,D3,R4,4
2050,1,508836,24.6395547,-83.0098158,DT08,0,0,29.9,3,REEF_HR,D3,R4,4
2057,1,364663,24.5964231,-83.0283801,DT08,0,0,31.8,3,REEF_MR,D3,R3,4
2056,1,536893,24.6479214,-82.9916756,DT08,0,0,31.3,3,REEF_MR,D3,R3,4
2052,1,519712,24.6427006,-83.0108539,DT08,0,0,30.3,3,ISOL_MR,D3,R4,4
2062,1,581448,24.6602991,-83.0447238,DT04,1,24,18.1,3,CONT_LR,D2,R2,5
2063,1,641291,24.6956672,-82.9993514,DT04,1,24,20.3,3,CONT_LR,D2,R2,5
2073,1,547691,24.6501481,-83.0608569,DT04,1,24,15.7,3,CONT_LR,D2,R1,5
2060,1,586534,24.6621982,-83.0378396,DT04,1,24,19.1,3,CONT_LR,D2,R2,5
2113,1,648212,24.6995474,-83.0463524,DT05,1,24,20.4,3,CONT_HR,D2,R4,6
2103,1,568004,24.6555435,-83.0950253,DT05,1,24,21.5,3,CONT_HR,D2,R3,6
2093,1,614518,24.6776559,-83.062791,DT05,1,24,20,3,ISOL_HR,D2,R4,6
2090,1,663417,24.7101482,-82.9966179,DT05,1,24,15.9,3,CONT_MR,D2,R4,6
2078,1,567999,24.655509,-83.0974943,DT05,1,24,21.1,3,CONT_HR,D2,R4,6
2084,1,621496,24.6820463,-83.0717555,DT05,1,24,18.5,3,CONT_MR,D2,R4,6
2091,1,575695,24.6578343,-83.092594,DT05,1,24,21.8,3,CONT_LR,D2,R4,6
2098,1,609578,24.6742106,-83.0834816,DT05,1,24,20.9,3,CONT_HR,D2,R4,6
2112,1,575714,24.6579647,-83.0832117,DT05,1,24,19.2,3,ISOL_MR,D2,R4,6
2097,1,625049,24.6845944,-83.0505544,DT05,1,24,21.7,3,ISOL_HR,D2,R4,6
2088,1,553964,24.6520142,-83.0564424,DT05,1,24,15.8,3,CONT_LR,D2,R4,6
2099,1,593211,24.6653644,-83.0038077,DT05,1,24,21.2,3,CONT_LR,D2,R4,6
2109,1,610331,24.6750093,-83.0583015,DT05,1,24,19.2,3,CONT_LR,D2,R3,6
2107,1,613837,24.6773198,-83.0543874,DT05,1,24,18.2,3,ISOL_HR,D2,R3,6
2096,1,563324,24.6543955,-83.0801891,DT05,1,24,17.7,3,ISOL_MR,D2,R4,6
2075,1,593942,24.6646102,-83.0922131,DT05,1,24,20.9,3,CONT_MR,D2,R4,6
2116,1,628594,24.6871662,-83.0273765,DT07,1,24,24.2,3,ISOL_MR,D3,R2,7
2121,1,608375,24.6746528,-82.984196,DT07,1,24,25.9,3,CONT_LR,D3,R2,7
2118,1,625148,24.6852544,-83.0016555,DT07,1,24,22.5,3,CONT_LR,D3,R1,7
2120,1,639866,24.694626,-83.0097105,DT07,1,24,23.6,3,ISOL_MR,D3,R2,7
2119,1,636415,24.692757,-82.9805301,DT07,1,24,27.9,3,CONT_LR,D3,R2,7
2117,1,622985,24.6835225,-83.0297877,DT07,1,24,24.2,3,CONT_HR,D3,R1,7
2114,1,631443,24.6892435,-83.0071538,DT07,1,24,25.2,3,CONT_LR,D3,R2,7
2115,1,611829,24.6765676,-83.0099149,DT07,1,24,25.4,3,CONT_LR,D3,R1,7
2122,1,596889,24.6673927,-82.987045,DT07,1,24,29.6,3,CONT_LR,D3,R1,7
2147,1,546219,24.6503263,-83.0144334,DT08,1,24,23.7,3,ISOL_MR,D3,R4,8
2151,1,613262,24.6777138,-82.9916547,DT08,1,24,27.9,3,ISOL_MR,D3,R4,8
2142,1,628544,24.6868305,-83.0520732,DT08,1,24,22.8,3,CONT_LR,D3,R3,8
2126,1,628533,24.6867561,-83.0575064,DT08,1,24,22.5,3,CONT_LR,D3,R3,8
2123,1,654489,24.7038438,-83.0291288,DT08,1,24,28.1,3,CONT_HR,D3,R4,8
2124,1,652434,24.7026166,-83.0197209,DT08,1,24,28.9,3,CONT_LR,D3,R3,8
2129,1,655161,24.7041746,-83.0380282,DT08,1,24,25.3,3,CONT_HR,D3,R3,8
2133,1,677936,24.7203321,-82.9775072,DT08,1,24,26.4,3,CONT_MR,D3,R4,8
2155,1,660620,24.7077244,-83.0425331,DT08,1,24,22.9,3,CONT_HR,D3,R4,8
2148,1,653931,24.7042604,-82.9639119,DT08,1,24,32.9,3,CONT_LR,D3,R4,8
2145,1,574379,24.658529,-83.0086379,DT08,1,24,24.9,3,ISOL_HR,D3,R4,8
2128,1,621641,24.6830177,-83.0001376,DT08,1,24,23.3,3,CONT_LR,D3,R4,8
2131,1,554043,24.6525431,-83.0174325,DT08,1,24,27.5,3,ISOL_MR,D3,R4,8
2149,1,597639,24.6677393,-82.9949541,DT08,1,24,22.7,3,CONT_LR,D3,R4,8
