psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2000,1,544561,24.649232,-83.0618296,DT04,0,0,15.4,3,CONT_LR,D2,R2,1
2001,1,502522,24.6369864,-83.0660731,DT04,0,0,16.2,3,CONT_LR,D2,R2,1
2002,1,533678,24.6464165,-83.0365955,DT04,0,0,17.6,3,CONT_LR,D2,R1,1
2003,1,519608,24.6420047,-83.0622048,DT04,0,0,15.8,3,ISOL_LR,D2,R1,1
2004,1,518038,24.6414448,-83.0700973,DT04,0,0,16.5,3,CONT_LR,D2,R2,1
2005,1,482487,24.6315172,-83.0368477,DT04,0,0,15.8,3,CONT_LR,D2,R2,1
2006,1,465516,24.6261692,-83.0649076,DT04,0,0,15.8,3,CONT_LR,D2,R2,1
2007,1,479356,24.6302985,-83.0600373,DT04,0,0,16.5,3,CONT_LR,D2,R1,1
2008,1,415346,24.6111682,-83.0725609,DT04,0,0,16.7,3,CONT_LR,D2,R1,1
2009,1,400307,24.6067165,-83.0680441,DT04,0,0,16.8,3,CONT_LR,D2,R2,1
2010,1,422958,24.6137358,-83.0498908,DT04,0,0,21.2,3,CONT_LR,D2,R1,1
2011,1,482426,24.6311061,-83.066964,DT04,0,0,16.4,3,CONT_LR,D2,R2,1
2012,1,513362,24.6399956,-83.0769873,DT04,0,0,16.5,3,ISOL_LR,D2,R1,1
2013,1,513445,24.6405564,-83.0360066,DT04,0,0,16.5,3,CONT_LR,D2,R1,1
2014,1,488673,24.6334425,-83.0279899,DT04,0,0,17.7,3,CONT_LR,D2,R1,1
2015,1,502478,24.6366862,-83.0877969,DT05,0,0,15.9,3,CONT_LR,D2,R4,2
2016,1,482386,24.6308333,-83.086712,DT05,0,0,16.6,3,CONT_LR,D2,R4,2
2017,1,415339,24.6111206,-83.0760163,DT05,0,0,16.1,3,CONT_LR,D2,R3,2
2018,1,456287,24.6230724,-83.0930023,DT05,0,0,20.8,3,CONT_LR,D2,R3,2
2019,1,404786,24.6079684,-83.0754705,DT05,0,0,16.8,3,CONT_LR,D2,R4,2
2020,1,493266,24.6345219,-83.0482546,DT05,0,0,14.6,3,CONT_LR,D2,R3,2
2021,1,442571,24.6190522,-83.0899727,DT05,0,0,16.7,3,CONT_LR,D2,R4,2
2022,1,477782,24.6296299,-83.0758283,DT05,0,0,13.1,3,CONT_LR,D2,R4,2
2023,1,511803,24.6395102,-83.0794485,DT05,0,0,15.7,3,CONT_MR,D2,R3,2
2024,1,432041,24.6165174,-83.0445048,DT05,0,0,17.3,3,CONT_LR,D2,R3,2
2025,1,479363,24.6303458,-83.0565814,DT05,0,0,14.1,3,CONT_LR,D2,R3,2
