"DRM_ID","psu_id","lat_degrees","lon_degrees","mpa_nr","subregion_nr","habitat_cd","psu_depth","prot","depth_class","rugosity_class","strat","Priority","Status","mapgrid_nr","zone_nr","region","priority_level","strat_nr","survey_type"
1611,2232,24.566561,-82.930664,26,4,"CONT_LR",13.6,2,"D2","R2","DT04","Primary","Not surveyed",271298,4,"DRY TORT",1,14,"Fish"
1613,2256,24.587816,-82.962585,26,4,"ISOL_MR",16.8,2,"D2","R2","DT04","Primary","Not surveyed",334830,4,"DRY TORT",1,14,"Fish"
1614,2157,24.593796,-82.883192,26,4,"CONT_LR",8.2,2,"D1","R2","DT01","Primary","Not surveyed",350485,4,"DRY TORT",1,9,"Fish"
1616,2159,24.595291,-82.871859,26,4,"ISOL_LR",6.8,2,"D1","R2","DT01","Primary","Not surveyed",354818,4,"DRY TORT",1,9,"Fish"
1617,2161,24.595874,-82.907293,26,4,"ISOL_MR",11.5,2,"D1","R2","DT01","Primary","Not surveyed",357632,4,"DRY TORT",1,9,"Fish"
1620,2295,24.604784,-82.942112,26,4,"ISOL_MR",15.2,2,"D2","R3","DT05","Primary","Not surveyed",388578,4,"DRY TORT",1,16,"Fish"
1621,2252,24.606252,-82.933248,26,4,"ISOL_MR",15.9,2,"D2","R2","DT04","Primary","Not surveyed",393090,4,"DRY TORT",1,14,"Fish"
1622,2270,24.60728,-82.958444,26,4,"ISOL_HR",16.7,2,"D2","R4","DT05","Primary","Not surveyed",397533,4,"DRY TORT",1,16,"Fish"
1624,2186,24.618285,-82.945284,26,4,"ISOL_MR",3.8,2,"D1","R3","DT02","Primary","Not surveyed",433756,4,"DRY TORT",1,10,"Fish"
1625,2183,24.619022,-82.923074,26,4,"ISOL_HR",5.9,2,"D1","R3","DT02","Primary","Not surveyed",435315,4,"DRY TORT",1,10,"Fish"
1627,2179,24.624546,-82.949825,26,4,"SPGR_LR",7.9,2,"D1","R3","DT02","Primary","Not surveyed",455051,4,"DRY TORT",1,10,"Fish"
1630,2174,24.635052,-82.868994,26,4,"CONT_LR",3.4,2,"D1","R2","DT01","Primary","Not surveyed",487453,4,"DRY TORT",1,9,"Fish"
